"evento","inizio","sede","indirizzo","comune"
"Settimana della cultura italo-polacca -  Bari, 14-20 ottobre 2019","2019-10-14 00:00:00","Castello svevo di Bari","piazza Federico II di Svevia - Bari","Bari"
"Cappuccetto d’osso al Castello","2019-10-31 00:00:00","Museo archeologico nazionale e Castello di Gioia del Colle","piazza dei Martiri del 1799 - Gioia del Colle","Gioia del Colle"
"Il cinema russo attraverso i suoi manifesti. Anni ’20 – Anni ’80.","2019-11-15 00:00:00","Castello svevo di Bari","piazza Federico II di Svevia - Bari","Bari"
"Corso di introduzione all’astronomia ""Dalla Terra all'Universo""","2019-11-16 00:00:00","Galleria nazionale della Puglia ""Girolamo e Rosaria Devanna""","via Giandonato Rogadeo - Bitonto","Bitonto"
"Bari tra le tavole di Frate Menotti","2019-11-25 00:00:00","Biblioteca Nazionale  Sagarriga Visconti Volpi","Via Pietro Oreste - Bari","Bari"
"""Conversazione su Leopardi"" e presentazione del libro ""Il celeste confine. Leopardi e il mito moderno dell'infinito""","2019-11-29 00:00:00","Galleria nazionale della Puglia ""Girolamo e Rosaria Devanna""","via Giandonato Rogadeo - Bitonto","Bitonto"
"Armi e guerrieri a Ruvo","2019-11-30 00:00:00","Museo nazionale Jatta","piazza G. Bovio - Ruvo di Puglia","Ruvo di Puglia"
"Armi e guerrieri a Ruvo","2019-11-30 00:00:00","Museo nazionale Jatta","piazza G. Bovio - Ruvo di Puglia","Ruvo di Puglia"
"Luoghi e Memorie 1943-1945","2019-12-02 00:00:00","Archivio di Stato di Bari","via Pietro Oreste, 45 - Bari","Bari"
"Giornata Internazionale dei diritti delle persone con disabilità","2019-12-03 00:00:00","Archivio di Stato di Bari","via Pietro Oreste, 45 - Bari","Bari"
"Matinée natalizio tra arte e musica","2019-12-08 00:00:00","Museo e Pinacoteca d'Arte Medievale e Moderna della Città Metropolitana di Bari ""Corrado Giaquinto""","Via Spalato, 19 - Bari","Bari"
"Matinée natalizio tra arte e musica ","2019-12-08 00:00:00","Museo e Pinacoteca d'Arte Medievale e Moderna della Città Metropolitana di Bari ""Corrado Giaquinto""","Via Spalato, 19 - Bari","Bari"
"“In...Canto di Natale” Concerto corale ed Itinerario Fotografico","2019-12-13 00:00:00","Ex Convento di San Francesco della Scarpa","Via Pier l'Eremita, 25/B - Bari","Bari"
"""Musica al Castello""","2019-12-14 00:00:00","Castello svevo di Bari","piazza Federico II di Svevia - Bari","Bari"
"Concerto di Natale 2019","2019-12-15 00:00:00","Galleria nazionale della Puglia ""Girolamo e Rosaria Devanna""","via Giandonato Rogadeo - Bitonto","Bitonto"
"L'invenzione del buio","2019-12-15 00:00:00","Palazzo Simi - Centro operativo per l'Archeologia","Strada Lamberti - Bari","Bari"
"Le donne di Leonardo Da Vinci","2019-12-15 00:00:00","Museo archeologico nazionale e Castello di Gioia del Colle","piazza dei Martiri del 1799 - Gioia del Colle","Gioia del Colle"
"Concerto ""Compositori bitontini di ieri e oggi"" e Conferenza","2019-12-30 00:00:00","Galleria nazionale della Puglia ""Girolamo e Rosaria Devanna""","via Giandonato Rogadeo - Bitonto","Bitonto"
"“Matinées musicali in Galleria” - Musica Sacra a cura dell'ensemble Altum Silentium","2020-01-26 00:00:00","Galleria nazionale della Puglia ""Girolamo e Rosaria Devanna""","via Giandonato Rogadeo - Bitonto","Bitonto"
"LE PRIME VOCI LIBERE  Dai campi di concentramento al teatro Piccinni","2020-01-27 00:00:00","Archivio di Stato di Bari","via Pietro Oreste, 45 - Bari","Bari"
"Gradazioni di luce: geografie di sguardi tra storia e contemporaneità in Puglia","2020-02-15 00:00:00","Castello svevo di Bari","piazza Federico II di Svevia - Bari","Bari"
"Per mare. Approdi e naufragi","2020-02-15 00:00:00","Castello svevo di Bari","piazza Federico II di Svevia - Bari","Bari"
"“Sulle tracce dei dinosauri” Gli esiti dell’intervento di protezione e conservazione delle impronte di dinosauro e della paleosuperficie a Cava Pontrelli - Altamura (Ba).","2020-02-24 00:00:00","Archivio di Stato di Bari","via Pietro Oreste, 45 - Bari","Bari"
"Arte del Con–Tatto","2020-02-29 00:00:00","Castello svevo di Bari","piazza Federico II di Svevia - Bari","Bari"
"Pinacoteca Metropolitana di Bari ""Corrado Giaquinto"".  XVI edizione ""ARTE E MUSICA""","2020-03-01 00:00:00","Museo e Pinacoteca d'Arte Medievale e Moderna della Città Metropolitana di Bari ""Corrado Giaquinto""","Via Spalato, 19 - Bari","Bari"
"Tour virtuale del Castello di Gioia del Colle","2020-03-01 00:00:00","Museo archeologico nazionale e Castello di Gioia del Colle","piazza dei Martiri del 1799 - Gioia del Colle","Gioia del Colle"
"Tour virtuale del Castello svevo di Bari","2020-03-01 00:00:00","Castello svevo di Bari","piazza Federico II di Svevia - Bari","Bari"
"#iorestoacasa e scopro il #parcoMonteSannce e il #museoCastelloGioia","2020-03-13 00:00:00","Parco archeologico di Monte Sannace","Strada Provinciale 61 - Gioia del Colle - Turi Km 4,5 - Gioia del Colle","Gioia del Colle"
"#iorestoacasa e scopro il #parcoMonteSannce e il #museoCastelloGioia","2020-03-13 00:00:00","Museo archeologico nazionale e Castello di Gioia del Colle","piazza dei Martiri del 1799 - Gioia del Colle","Gioia del Colle"
"#iorestoacasa con il Castello Svevo di Bari","2020-03-14 00:00:00","Castello svevo di Bari","piazza Federico II di Svevia - Bari","Bari"
"#iorestoacasa con la Galleria Nazionale della Puglia","2020-03-14 00:00:00","Galleria nazionale della Puglia ""Girolamo e Rosaria Devanna""","via Giandonato Rogadeo - Bitonto","Bitonto"
"#iorestoacasa e #Jattaracconta - Miti, storie e leggende nel #museonazionalejatta","2020-03-14 00:00:00","Museo nazionale Jatta","piazza G. Bovio - Ruvo di Puglia","Ruvo di Puglia"
"Concorso #PaesaggioDiPuglia2020","2020-03-14 00:00:00","Museo archeologico nazionale e Castello di Gioia del Colle","piazza dei Martiri del 1799 - Gioia del Colle","Gioia del Colle"
" DANTEDì -  Museo Archeologico Nazionale - Castello di Gioia del Colle","2020-03-25 00:00:00","Museo archeologico nazionale e Castello di Gioia del Colle","piazza dei Martiri del 1799 - Gioia del Colle","Gioia del Colle"
"Dantedì - Al Museo Jatta di Ruvo di Puglia","2020-03-25 00:00:00","Museo nazionale Jatta","piazza G. Bovio - Ruvo di Puglia","Ruvo di Puglia"
"Dantedì - Galleria nazionale di Bitonto","2020-03-25 00:00:00","Galleria nazionale della Puglia ""Girolamo e Rosaria Devanna""","via Giandonato Rogadeo - Bitonto","Bitonto"
"Dantedì Castello svevo di Bari","2020-03-25 00:00:00","Castello svevo di Bari","piazza Federico II di Svevia - Bari","Bari"
"Pillole d'archivio","2020-04-01 00:00:00","Archivio di Stato di Bari","via Pietro Oreste, 45 - Bari","Bari"
"pillole d'archivio","2020-04-08 00:00:00","Archivio di Stato di Bari","via Pietro Oreste, 45 - Bari","Bari"
"pillole d'archivio 03","2020-04-15 00:00:00","Archivio di Stato di Bari","via Pietro Oreste, 45 - Bari","Bari"
"Cosa vorresti vedere dalla tua finestra?","2020-04-16 00:00:00","Galleria nazionale della Puglia ""Girolamo e Rosaria Devanna""","via Giandonato Rogadeo - Bitonto","Bitonto"
"Pinacoteca Metropolitana di Bari ""Corrado Giaquinto"".  XVI edizione ""ARTE E MUSICA""","2020-04-19 00:00:00","Museo e Pinacoteca d'Arte Medievale e Moderna della Città Metropolitana di Bari ""Corrado Giaquinto""","Via Spalato, 19 - Bari","Bari"
"pillole04","2020-04-22 00:00:00","Archivio di Stato di Bari","via Pietro Oreste, 45 - Bari","Bari"
"pillola05","2020-04-30 00:00:00","Archivio di Stato di Bari","via Pietro Oreste, 45 - Bari","Bari"
"#EVASIONIDIGITALI. #PUGLIA Sulle tracce di San Nicola","2020-05-07 00:00:00","Archivio di Stato di Bari","Via Pietro Oreste, 45 - Bari","Bari"
"#iorestoacasa - Un viaggio virtuale per la Festa di San Nicola","2020-05-07 00:00:00","Museo e Pinacoteca d'Arte Medievale e Moderna della Città Metropolitana di Bari ""Corrado Giaquinto""","Via Spalato, 19 - Bari","Bari"
"pillola06","2020-05-07 00:00:00","Archivio di Stato di Bari","via Pietro Oreste, 45 - Bari","Bari"
"Giornata Nazionale della Cultura del Vino e dell'Olio","2020-05-09 00:00:00","Museo archeologico nazionale e Castello di Gioia del Colle","piazza dei Martiri del 1799 - Gioia del Colle","Gioia del Colle"
"Giornata Nazionale della Cultura del Vino e dell'Olio","2020-05-09 00:00:00","Museo nazionale Jatta","piazza G. Bovio - Ruvo di Puglia","Ruvo di Puglia"
"Pinacoteca Metropolitana di Bari ""Corrado Giaquinto"".  XVI edizione ""ARTE E MUSICA""","2020-05-10 00:00:00","Museo e Pinacoteca d'Arte Medievale e Moderna della Città Metropolitana di Bari ""Corrado Giaquinto""","Via Spalato, 19 - Bari","Bari"
"“Leggere … vuol dire profondamente pensare” (V. Alfieri). La lettura nelle opere della Pinacoteca Metropolitana di Bari “Corrado Giaquinto”.","2020-05-13 00:00:00","Museo e Pinacoteca d'Arte Medievale e Moderna della Città Metropolitana di Bari ""Corrado Giaquinto""","Via Spalato, 19 - Bari","Bari"
"Intrattenere i piccoli a casa e far conoscere gli Artenauti e la Pinacoteca di Bari","2020-05-25 00:00:00","Museo e Pinacoteca d'Arte Medievale e Moderna della Città Metropolitana di Bari ""Corrado Giaquinto""","Via Spalato, 19 - Bari","Bari"
"#Evasioni digitali #Puglia Città vecchie","2020-05-28 00:00:00","Archivio di Stato di Bari","Via Pietro Oreste, 45 - Bari","Bari"
"Moda al Castello - Collezioni di abiti storici in Puglia","2020-06-14 00:00:00","Castello svevo di Bari","piazza Federico II di Svevia - Bari","Bari"
"Giornate Europee dell'Archeologia","2020-06-19 00:00:00","Parco archeologico di Monte Sannace","Strada Provinciale 61 - Gioia del Colle - Turi Km 4,5 - Gioia del Colle","Gioia del Colle"
"Giornate Europee dell'Archeologia","2020-06-19 00:00:00","Museo archeologico nazionale e Castello di Gioia del Colle","piazza dei Martiri del 1799 - Gioia del Colle","Gioia del Colle"
"Pinacoteca Metropolitana di Bari ""Corrado Giaquinto"" vota ""Opera Tua","2020-08-01 00:00:00","Museo e Pinacoteca d'Arte Medievale e Moderna della Città Metropolitana di Bari ""Corrado Giaquinto""","Via Spalato, 19 - Bari","Bari"
"Apertura della mostra documentaria ""100 Gianni Rodari. Ricordo di Gianni Rodari a Bitonto""","2020-09-26 00:00:00","Galleria nazionale della Puglia ""Girolamo e Rosaria Devanna""","via Giandonato Rogadeo - Bitonto","Bitonto"
"Apertura straordinaria con visita guidata tematica","2020-09-26 00:00:00","Museo archeologico nazionale e Castello di Gioia del Colle","piazza dei Martiri del 1799 - Gioia del Colle","Gioia del Colle"
"Concerto nel chiostro","2020-09-26 00:00:00","Ex Convento di San Francesco della Scarpa","Via Pier l'Eremita, 25/B - Bari","Bari"
"Finestre sull’arte","2020-09-26 00:00:00","Galleria civica d'arte moderna e contemporanea di Noicattaro","Via Console Positano - Noicattaro","Noicattaro"
"GEP - Giornate Europee del Patrimonio 2020 nella Pinacoteca di Bari - ""Imparare per la vita""","2020-09-26 00:00:00","Museo e Pinacoteca d'Arte Medievale e Moderna della Città Metropolitana di Bari ""Corrado Giaquinto""","Via Spalato, 19 - Bari","Bari"
"Il Castello di Ceglie del Campo","2020-09-26 00:00:00","Castello di Ceglie del Campo","Piazza Castello, 5 - Bari","Bari"
"Il Parco Archeologico come opportunità di formazione: un nuovo racconto museale","2020-09-26 00:00:00","Parco archeologico di Monte Sannace","Strada Provinciale 61 - Gioia del Colle - Turi Km 4,5 - Gioia del Colle","Gioia del Colle"
"Imparare per la vita. L'Archivio e la Scuola","2020-09-26 00:00:00","Archivio di Stato di Bari","Via Pietro Oreste, 45 - Bari","Bari"
"Incontro con l'archeologia del territorio barese e visite guidate","2020-09-26 00:00:00","Palazzo Simi - Centro operativo per l'Archeologia","Strada Lamberti - Bari","Bari"
"La Città degli Approdi. Il taumaturgo, il Krampus e gli altri prodigi","2020-09-26 00:00:00","Ex Convento di San Francesco della Scarpa","Via Pier l'Eremita, 25/B - Bari","Bari"
"Lectio magistralis della prof.ssa Paola Nitti sulla storia del costume e della moda","2020-09-26 00:00:00","Castello svevo di Bari","piazza Federico II di Svevia - Bari","Bari"
"Pinacoteca Open Day","2020-09-26 00:00:00","Pinacoteca ""Michele De Napoli""","Corso Dante Alighieri, 9 - Terlizzi","Terlizzi"
"Time Zones - L'anello e la pietra","2020-09-26 00:00:00","Chiostro di Santa Chiara","Pier l'Eremita 25/B - Bari","Bari"
"Visite guidate Centro operativo per l'Archeologia di Gravina in Puglia (BA)","2020-09-26 00:00:00","Museo civico archeologico di Gravina in Puglia","Piazza Benedetto XIII - Gravina in Puglia","Gravina in Puglia"
"Visite guidate alla biblioteca e alla mostra “La vita culturale e politica barese fra Otto e Novecento nelle tavole di Frate Menotti”","2020-09-26 00:00:00","Biblioteca Nazionale  Sagarriga Visconti Volpi","Via Pietro Oreste - Bari","Bari"
"Visite guidate alla mostra “Moda al Castello – Collezioni di abiti storici in Puglia""","2020-09-26 00:00:00","Castello svevo di Bari","piazza Federico II di Svevia - Bari","Bari"
"Visite guidate alla mostra documentaria ""100 Gianni Rodari. Ricordo di Gianni Rodari a Bitonto""","2020-09-26 00:00:00","Galleria nazionale della Puglia ""Girolamo e Rosaria Devanna""","via Giandonato Rogadeo - Bitonto","Bitonto"
"Ai confini del corpo XI edizione 2020","2020-09-27 00:00:00","Chiostro di Santa Chiara","Pier l'Eremita 25/B - Bari","Bari"
"Diventare Archeologo: la formazione sul campo tra Università e Scuola di Specializzazione","2020-09-27 00:00:00","Parco archeologico di Monte Sannace","Strada Provinciale 61 - Gioia del Colle - Turi Km 4,5 - Gioia del Colle","Gioia del Colle"
"Il Museo Archeologico Nazionale e il Castello Normanno Svevo come opportunità di formazione: un nuovo racconto museale","2020-09-27 00:00:00","Museo archeologico nazionale e Castello di Gioia del Colle","piazza dei Martiri del 1799 - Gioia del Colle","Gioia del Colle"
"Into the bones 2020 - Le ossa raccontano e visite guidate","2020-09-27 00:00:00","Palazzo Simi - Centro operativo per l'Archeologia","Strada Lamberti - Bari","Bari"
"Mostra fotografica Pianeta Puglia 2020","2020-09-27 00:00:00","Chiostro di Santa Chiara","Pier l'Eremita 25/B - Bari","Bari"
"Presentazione del libro “Torno subito” di Chiara Cannito","2020-09-27 00:00:00","Galleria nazionale della Puglia ""Girolamo e Rosaria Devanna""","via Giandonato Rogadeo - Bitonto","Bitonto"
"Visite guidate Dolmen di San Silvestro","2020-09-27 00:00:00","Dolmen di San Silvestro","Strada Provinciale 107 - Giovinazzo","Giovinazzo"
"Visite guidate alla mostra documentaria ""100 Gianni Rodari. Ricordo di Gianni Rodari a Bitonto""","2020-09-27 00:00:00","Galleria nazionale della Puglia ""Girolamo e Rosaria Devanna""","via Giandonato Rogadeo - Bitonto","Bitonto"
"Apertura straordinaria serale e presentazione del libro ""Champollion in Egitto, diario di una spedizione scientifica""","2020-10-03 00:00:00","Castello svevo di Bari","piazza Federico II di Svevia - Bari","Bari"
"Presentazione del catalogo della mostra “Moda al Castello. Collezioni di abiti storici in Puglia”","2020-10-10 00:00:00","Castello svevo di Bari","piazza Federico II di Svevia - Bari","Bari"
"Domenica di Carta    2020","2020-10-11 00:00:00","Archivio di Stato di Bari","Via Pietro Oreste, 45 - Bari","Bari"
"Visite guidate alla biblioteca e presentazione del volume  La quadreria del Purgatorio, tra ipotesi e realtà.  Santa Maria del Suffragio a Modugno  di I. Pirrone, L. Lepore, M. Damiani","2020-10-11 00:00:00","Biblioteca Nazionale  Sagarriga Visconti Volpi","Via Pietro Oreste - Bari","Bari"
"Apertura straordinaria serale con presentazione del libro “Rime. Isabella Morra”","2020-10-17 00:00:00","Galleria nazionale della Puglia ""Girolamo e Rosaria Devanna""","via Giandonato Rogadeo - Bitonto","Bitonto"
"Apertura straordinaria serale – Inaugurazione Settimana della Cultura Italo Polacca","2020-10-18 00:00:00","Castello svevo di Bari","piazza Federico II di Svevia - Bari","Bari"
"#APPUNTAMENTOCONLASTORIA: visite guidate nel complesso di San Francesco della Scarpa a Bari","2020-10-20 00:00:00","Ex Convento di San Francesco della Scarpa","Via Pier l'Eremita, 25/B - Bari","Bari"
"Buon compleanno Gianni Rodari!","2020-10-23 00:00:00","Galleria nazionale della Puglia ""Girolamo e Rosaria Devanna""","via Giandonato Rogadeo - Bitonto","Bitonto"
"L'ambiente geologico della cultura dolmenica","2020-10-31 00:00:00","Dolmen di San Silvestro","Strada Provinciale 107 - Giovinazzo","Giovinazzo"
"Giornata internazionale dei diritti delle persone con disabilità al Castello svevo di Bari","2020-12-03 00:00:00","Castello svevo di Bari","piazza Federico II di Svevia - Bari","Bari"
"Aspettando San Nicola tra giochi, libri e musica","2020-12-05 00:00:00","Biblioteca Nazionale  Sagarriga Visconti Volpi","Via Pietro Oreste - Bari","Bari"
"Presentazione delle opere di Paolo “Gep” Cucco ed Emilia Serra_Copia","2020-12-18 00:00:00","Museo archeologico nazionale e Castello di Gioia del Colle","piazza dei Martiri del 1799 - Gioia del Colle","Gioia del Colle"
"Dalla vetrina della Galleria Nazionale: ""Omaggio a Raffaello: una Madonna di Pietro De Simone”","2020-12-20 00:00:00","Galleria nazionale della Puglia ""Girolamo e Rosaria Devanna""","via Giandonato Rogadeo - Bitonto","Bitonto"
"Riapertura Galleria Nazionale della Puglia ""Girolamo e Rosaria Devanna"" di Bitonto","2021-02-15 00:00:00","Galleria nazionale della Puglia ""Girolamo e Rosaria Devanna""","via Giandonato Rogadeo - Bitonto","Bitonto"
"Riapertura Castello Svevo di Bari","2021-02-22 00:00:00","Castello svevo di Bari","piazza Federico II di Svevia - Bari","Bari"
"Riapertura Museo Archeologico Nazionale di Gioia del Colle","2021-02-22 00:00:00","Museo archeologico nazionale e Castello di Gioia del Colle","piazza dei Martiri del 1799 - Gioia del Colle","Gioia del Colle"
"Riapertura Parco Archeologico di Monte Sannace","2021-02-22 00:00:00","Parco archeologico di Monte Sannace","Strada Provinciale 61 - Gioia del Colle - Turi Km 4,5 - Gioia del Colle","Gioia del Colle"
"Il paesaggio pugliese pugliese nelle collezioni della Pinacoteca Metropolitana di Bari: la consapevolezza di un'identità","2021-03-16 00:00:00","Museo e Pinacoteca d'Arte Medievale e Moderna della Città Metropolitana di Bari ""Corrado Giaquinto""","Via Spalato, 19 - Bari","Bari"
"La visione ultraterrena di Dante: i personaggi storici del Castello di Bari nella Divina Commedia","2021-03-25 00:00:00","Castello svevo di Bari","piazza Federico II di Svevia - Bari","Bari"
"In occasione della ricorrenza dei 160 anni dell’Unità d’Italia la Pinacoteca Metropolitana “Corrado Giaquinto” di Bari propone un video sul dipinto di Gioacchino Toma","2021-04-19 00:00:00","Museo e Pinacoteca d'Arte Medievale e Moderna della Città Metropolitana di Bari ""Corrado Giaquinto""","Via Spalato, 19 - Bari","Bari"
"Presentazione nuovi video in LIS","2021-04-21 00:00:00","Castello svevo di Bari","piazza Federico II di Svevia - Bari","Bari"
"Nuovo allestimento Collezione Grieco e  inaugurazione Sala del '900","2021-06-17 00:00:00","Museo e Pinacoteca d'Arte Medievale e Moderna della Città Metropolitana di Bari ""Corrado Giaquinto""","Via Spalato, 19 - Bari","Bari"
"Un Museo da vivere: il racconto dell’antica Thuriae in Peucezia attraverso i materiali","2021-06-18 00:00:00","Museo archeologico nazionale e Castello di Gioia del Colle","piazza dei Martiri del 1799 - Gioia del Colle","Gioia del Colle"
"Fare Luce. Eventi Unici in Mostra – Giornate dell’Archeologia 2021","2021-06-19 00:00:00","Castello svevo di Bari","piazza Federico II di Svevia - Bari","Bari"
"Il Parco sotto le stelle: archeologia e astronomia a Monte Sannace","2021-06-20 00:00:00","Parco archeologico di Monte Sannace","Strada Provinciale 61 - Gioia del Colle - Turi Km 4,5 - Gioia del Colle","Gioia del Colle"
"100 anni milioni di colori: visioni laboratoriali ispirate alle opere di Lele Luzzati","2021-07-03 00:00:00","Galleria nazionale della Puglia ""Girolamo e Rosaria Devanna""","via Giandonato Rogadeo - Bitonto","Bitonto"
"Carmen Realoaded  Ayso  String Orchestra","2021-07-03 00:00:00","Castello svevo di Bari","piazza Federico II di Svevia - Bari","Bari"
"Il Volo di Federico","2021-07-03 00:00:00","Museo archeologico nazionale e Castello di Gioia del Colle","piazza dei Martiri del 1799 - Gioia del Colle","Gioia del Colle"
"Al Castello Svevo di Bari le “Quattro Stagioni” di A. Vivaldi- Ayso String Orchestra","2021-07-18 00:00:00","Castello svevo di Bari","piazza Federico II di Svevia - Bari","Bari"
"Al Castello Svevo di Bari Wind - Ayso Orchestra","2021-07-21 00:00:00","Castello svevo di Bari","piazza Federico II di Svevia - Bari","Bari"
"Al Castello Svevo di Bari String Revolution - Ayso Orchestra","2021-08-07 00:00:00","Castello svevo di Bari","piazza Federico II di Svevia - Bari","Bari"
"Ferragosto 2021 al Castello Svevo di Bari","2021-08-14 00:00:00","Castello svevo di Bari","piazza Federico II di Svevia - Bari","Bari"
"Ferragosto 2021 al Museo Archeologico Nazionale e Castello di Gioia del Colle","2021-08-14 00:00:00","Museo archeologico nazionale e Castello di Gioia del Colle","piazza dei Martiri del 1799 - Gioia del Colle","Gioia del Colle"
"Ferragosto 2021 al Parco Archeologico di Monte Sannace","2021-08-14 00:00:00","Parco archeologico di Monte Sannace","Strada Provinciale 61 - Gioia del Colle - Turi Km 4,5 - Gioia del Colle","Gioia del Colle"
"Ferragosto 2021 con visita libera alla sala del Novecento","2021-08-14 00:00:00","Galleria nazionale della Puglia ""Girolamo e Rosaria Devanna""","via Giandonato Rogadeo - Bitonto","Bitonto"
"Concerto Associazione Culturale “Misure Composte”","2021-09-25 00:00:00","Museo archeologico nazionale e Castello di Gioia del Colle","piazza dei Martiri del 1799 - Gioia del Colle","Gioia del Colle"
"L'Archivio si presenta. Mostra documentaria e visite guidate all'Istituto.","2021-09-25 00:00:00","Archivio di Stato di Bari","Via Pietro Oreste, 45 - Bari","Bari"
"The power of love. Afrodite e i suoi poteri sui vasi della Collezione Jatta – Visita guidata a cura di Carmela Roscino – docente di Archeologia Classica, Università degli Studi di Bari “Aldo Moro”","2021-09-25 00:00:00","Castello svevo di Bari","piazza Federico II di Svevia - Bari","Bari"
"Visita guidata a Monte Sannace","2021-09-25 00:00:00","Parco archeologico di Monte Sannace","Strada Provinciale 61 - Gioia del Colle - Turi Km 4,5 - Gioia del Colle","Gioia del Colle"
"Visita guidata serale in Galleria","2021-09-25 00:00:00","Galleria nazionale della Puglia ""Girolamo e Rosaria Devanna""","via Giandonato Rogadeo - Bitonto","Bitonto"
"“Del mio mal superbo”. Cantata scenica in due parti - “FESTE A PALAZZO. Adriano Banchieri: Festino nella sera del Giovedì Grasso avanti cena”","2021-09-25 00:00:00","Castello svevo di Bari","piazza Federico II di Svevia - Bari","Bari"
"Il Volo di Federico. Presentazione installazione Paolo Gep Cucco","2021-09-26 00:00:00","Museo archeologico nazionale e Castello di Gioia del Colle","piazza dei Martiri del 1799 - Gioia del Colle","Gioia del Colle"
"Monte Sannace apertura straordinaria","2021-09-26 00:00:00","Parco archeologico di Monte Sannace","Strada Provinciale 61 - Gioia del Colle - Turi Km 4,5 - Gioia del Colle","Gioia del Colle"
"Visita guidata in Galleria- GEP 2021","2021-09-26 00:00:00","Galleria nazionale della Puglia ""Girolamo e Rosaria Devanna""","via Giandonato Rogadeo - Bitonto","Bitonto"
"Le donne nelle fotografie di Michele Ficarelli e fra le carte d'Archivio. Il lavoro, la politica e gli affetti.","2021-10-10 00:00:00","Archivio di Stato di Bari","Via Pietro Oreste, 45 - Bari","Bari"
"La MAD – Mostra A Distanza “Vasi Mitici. Gli eroi del Museo Nazionale Jatta” gira l’Italia","2021-10-27 00:00:00","Museo nazionale Jatta","piazza G. Bovio - Ruvo di Puglia","Ruvo di Puglia"
"Side by side. Giovani artisti cinesi delle Accademie di Belle Arti in Italia","2021-11-12 00:00:00","Castello svevo di Bari","piazza Federico II di Svevia - Bari","Bari"
"La sostenibilità nel restauro: stato dell’arte, applicazioni e prospettive future. Il Restauro Sostenibile, ENEA-PROGETTO ES-PA","2021-12-10 00:00:00","Castello svevo di Bari","piazza Federico II di Svevia - Bari","Bari"
"Apertura straordinaria serale e XIII edizione del Meeting del Volontariato","2021-12-11 00:00:00","Castello svevo di Bari","piazza Federico II di Svevia - Bari","Bari"
"Apertura straordinaria del Parco Archeologico di Monte Sannace","2021-12-12 00:00:00","Parco archeologico di Monte Sannace","Strada Provinciale 61 - Gioia del Colle - Turi Km 4,5 - Gioia del Colle","Gioia del Colle"
"Il ricordo di una Giudecca: itinerario ebraico in Puglia","2022-01-27 00:00:00","Castello svevo di Bari","piazza Federico II di Svevia - Bari","Bari"
"Orme di anime inquiete","2022-03-05 00:00:00","Museo e Pinacoteca d'Arte Medievale e Moderna della Città Metropolitana di Bari ""Corrado Giaquinto""","Via Spalato, 19 - Bari","Bari"
"Le donne e l'arte nella Galleria Nazionale della Puglia","2022-03-08 00:00:00","Galleria nazionale della Puglia ""Girolamo e Rosaria Devanna""","via Giandonato Rogadeo - Bitonto","Bitonto"
"Giornata Nazionale del Paesaggio 2022","2022-03-14 00:00:00","Dolmen di San Silvestro","Strada Provinciale 107 - Giovinazzo","Giovinazzo"
"Aurelio Amendola | Un’antologia. Michelangelo, Burri, Warhol e gli altri","2022-04-08 00:00:00","Castello svevo di Bari","piazza Federico II di Svevia - Bari","Bari"
"Apertura Palazzo Simi","2022-04-17 00:00:00","Palazzo Simi - Centro operativo per l'Archeologia","Strada Lamberti - Bari","Bari"
"Pasqua 2022 al Castello svevo di Bari","2022-04-17 00:00:00","Castello svevo di Bari","piazza Federico II di Svevia - Bari","Bari"
"Pasqua 2022 al Museo archeologico nazionale e Castello di Gioia del Colle","2022-04-17 00:00:00","Museo archeologico nazionale e Castello di Gioia del Colle","piazza dei Martiri del 1799 - Gioia del Colle","Gioia del Colle"
"Pasqua 2022 al Parco archeologico di Monte Sannace","2022-04-17 00:00:00","Parco archeologico di Monte Sannace","Strada Provinciale 61 - Gioia del Colle - Turi Km 4,5 - Gioia del Colle","Gioia del Colle"
"Pasqua 2022 alla Galleria Nazionale della Puglia ""Devanna"" di Bitonto","2022-04-17 00:00:00","Galleria nazionale della Puglia ""Girolamo e Rosaria Devanna""","via Giandonato Rogadeo - Bitonto","Bitonto"
"Apertura Palazzo Simi","2022-04-18 00:00:00","Palazzo Simi - Centro operativo per l'Archeologia","Strada Lamberti - Bari","Bari"
"Pasquetta 2022 al Castello Svevo di Bari","2022-04-18 00:00:00","Castello svevo di Bari","piazza Federico II di Svevia - Bari","Bari"
"Pasquetta 2022 al Museo archeologico nazionale e Castello di Gioia del Colle","2022-04-18 00:00:00","Museo archeologico nazionale e Castello di Gioia del Colle","piazza dei Martiri del 1799 - Gioia del Colle","Gioia del Colle"
"Pasquetta al Parco archeologico di Monte Sannace","2022-04-18 00:00:00","Parco archeologico di Monte Sannace","Strada Provinciale 61 - Gioia del Colle - Turi Km 4,5 - Gioia del Colle","Gioia del Colle"
"25 Aprile 2022 al Castello Svevo di Bari","2022-04-25 00:00:00","Castello svevo di Bari","piazza Federico II di Svevia - Bari","Bari"
"25 Aprile 2022 al Parco archeologico di Monte Sannace","2022-04-25 00:00:00","Parco archeologico di Monte Sannace","Strada Provinciale 61 - Gioia del Colle - Turi Km 4,5 - Gioia del Colle","Gioia del Colle"
"25 Aprile 2022 alla Galleria Nazionale della Puglia ""Devanna"" di Bitonto","2022-04-25 00:00:00","Galleria nazionale della Puglia ""Girolamo e Rosaria Devanna""","via Giandonato Rogadeo - Bitonto","Bitonto"
"Apertura Palazzo Simi","2022-04-25 00:00:00","Palazzo Simi - Centro operativo per l'Archeologia","Strada Lamberti - Bari","Bari"
